id,source,name,card_type,element,set,set_label,collector,culture,initiative,life,speed,experience,damage,hands,salary,grid_raw,flavor,illustrator,background,parse_confidence,traits,abilities,grid,tags,needs_review,raw_source_text
s1-001,spreadsheet-2007,Alexander the Great,warrior,Fire,1,,001,Greek,,8,3,4,1,0,16,+0 -1 ▲,"Driven to surpass his father, Alexander's ambition extends to the ends of the world.",Christopher Appel,"Regarded by many as the greatest conqueror in history, Alexander III of Macedon created an empire spanning three continents. As leader, Alexander always fought on the front lines with his men, inspiring enormous loyalty.

Armored in a lightweight but effective linen cuirass and mounted on Bucephalus, his beloved horse, Alexander developed tactics which emphasized the use of sarrissae, pikes that measure over six and a half meter in length. With his victories portended by the Oracle of Delphi, Alexander is an unstoppable force in the Anachronism arena.",clean,"[""Male""]","[{""name"": ""Kataktas"", ""type"": ""static"", ""text"": ""Your attacks deal +1 damage against warriors with more life than you.""}]","{""1A"": null, ""1B"": null, ""1C"": null, ""2A"": null, ""2B"": ""+0"", ""2C"": ""-1"", ""3A"": null, ""3B"": ""marker"", ""3C"": null, ""4A"": null, ""4B"": null, ""4C"": null}","{""reveal"": false, ""action"": false, ""life_gain"": false, ""life_dependant"": true, ""free_move"": false, ""free_attack"": false, ""free_damage"": false, ""allows_re_roll"": false, ""dice_manipulation"": false, ""defense_bonus"": false, ""defense_penalty"": false, ""attack_bonus"": false, ""attack_penalty"": false, ""damage_reduction"": false, ""damage_bonus"": true, ""experience_bonus"": false, ""experience_penalty"": false, ""experience_dependant"": false, ""speed_bonus"": false, ""speed_penalty"": false, ""continuous"": false, ""conditional"": true, ""initiative_bonus"": false, ""initiative_penalty"": false, ""initiative_dependant"": false, ""rivalry"": false, ""create_negate_critical"": false, ""cavalry_dependant"": false, ""triggers_on_ties"": false, ""culture_dependant"": false, ""element_dependant"": false, ""plays_to_arena"": false, ""card_recycle"": false, ""usable_from_discard"": false, ""creates_doubles"": false, ""multiple_weapon_attacks"": false, ""discards"": false, ""prevents_discards"": false, ""multiple_inspirations"": false, ""multiple_weapons"": false, ""multiple_armors"": false, ""multiple_specials"": false}",[],Kataktas: Your attacks deal +1 damage against warriors with more life than you.
s1-002,spreadsheet-2007,Oracle of Delphi,inspiration,Water,1,,002,Greek,2,,,,,0,,,"At his temple in Delphi, Apollo speaks of the fate of the world through his Oracle, Pythia.",Christopher Appel,,clean,"[""Deity""]","[{""name"": ""Propheteia"", ""type"": ""reveal"", ""text"": ""Look at all face-down cards. You may trade the placement of two of your face-down cards.""}]",null,"{""reveal"": true, ""action"": false, ""life_gain"": false, ""life_dependant"": false, ""free_move"": false, ""free_attack"": false, ""free_damage"": false, ""allows_re_roll"": false, ""dice_manipulation"": false, ""defense_bonus"": false, ""defense_penalty"": false, ""attack_bonus"": false, ""attack_penalty"": false, ""damage_reduction"": false, ""damage_bonus"": false, ""experience_bonus"": false, ""experience_penalty"": false, ""experience_dependant"": false, ""speed_bonus"": false, ""speed_penalty"": false, ""continuous"": true, ""conditional"": false, ""initiative_bonus"": false, ""initiative_penalty"": false, ""initiative_dependant"": false, ""rivalry"": false, ""create_negate_critical"": false, ""cavalry_dependant"": false, ""triggers_on_ties"": false, ""culture_dependant"": false, ""element_dependant"": false, ""plays_to_arena"": false, ""card_recycle"": false, ""usable_from_discard"": false, ""creates_doubles"": false, ""multiple_weapon_attacks"": false, ""discards"": false, ""prevents_discards"": false, ""multiple_inspirations"": false, ""multiple_weapons"": false, ""multiple_armors"": false, ""multiple_specials"": false}",[],Propheteia - Reveal: Look at all face-down cards. You may trade the placement of two of your face-down cards.
s1-003,spreadsheet-2007,Sarissae,weapon,unknown,1,,003,Greek,7,,,,2,2,,+1 +1 +2 ▲,The success of the Macedonian phalanx rests with these 6.3-meter pikes.,Christopher Appel,,clean,"[""Polearm""]","[{""name"": ""Phalanx"", ""type"": ""static"", ""text"": ""Once per turn, when a warrior moves into a space on this weapon's attack grid, deal 1 damage to that warrior.""}]","{""1A"": ""+1"", ""1B"": ""+1"", ""1C"": ""+2"", ""2A"": null, ""2B"": null, ""2C"": null, ""3A"": null, ""3B"": ""marker"", ""3C"": null, ""4A"": null, ""4B"": null, ""4C"": null}","{""reveal"": false, ""action"": false, ""life_gain"": false, ""life_dependant"": false, ""free_move"": false, ""free_attack"": false, ""free_damage"": true, ""allows_re_roll"": false, ""dice_manipulation"": false, ""defense_bonus"": false, ""defense_penalty"": false, ""attack_bonus"": false, ""attack_penalty"": false, ""damage_reduction"": false, ""damage_bonus"": false, ""experience_bonus"": false, ""experience_penalty"": false, ""experience_dependant"": false, ""speed_bonus"": false, ""speed_penalty"": false, ""continuous"": false, ""conditional"": true, ""initiative_bonus"": false, ""initiative_penalty"": false, ""initiative_dependant"": false, ""rivalry"": false, ""create_negate_critical"": false, ""cavalry_dependant"": false, ""triggers_on_ties"": false, ""culture_dependant"": false, ""element_dependant"": false, ""plays_to_arena"": false, ""card_recycle"": false, ""usable_from_discard"": false, ""creates_doubles"": false, ""multiple_weapon_attacks"": false, ""discards"": false, ""prevents_discards"": false, ""multiple_inspirations"": false, ""multiple_weapons"": false, ""multiple_armors"": false, ""multiple_specials"": false}",[],"Phalanx: Once per turn, when a warrior moves into a space on this weapon's attack grid, deal 1 damage to that warrior."
s1-004,spreadsheet-2007,Linen Cuirass,armor,unknown,1,,004,Greek,2,,,,,0,,,Glued linen forms the shell of this lightweight breastplate.,Christopher Appel,,clean,"[""Torso""]","[{""name"": ""Linothorax"", ""type"": ""static"", ""text"": ""Your defense rolls gain +1 while you have lower life than the attacking warrior.""}]",null,"{""reveal"": false, ""action"": false, ""life_gain"": false, ""life_dependant"": true, ""free_move"": false, ""free_attack"": false, ""free_damage"": false, ""allows_re_roll"": false, ""dice_manipulation"": false, ""defense_bonus"": true, ""defense_penalty"": false, ""attack_bonus"": false, ""attack_penalty"": false, ""damage_reduction"": false, ""damage_bonus"": false, ""experience_bonus"": false, ""experience_penalty"": false, ""experience_dependant"": false, ""speed_bonus"": false, ""speed_penalty"": false, ""continuous"": false, ""conditional"": true, ""initiative_bonus"": false, ""initiative_penalty"": false, ""initiative_dependant"": false, ""rivalry"": false, ""create_negate_critical"": false, ""cavalry_dependant"": false, ""triggers_on_ties"": false, ""culture_dependant"": false, ""element_dependant"": false, ""plays_to_arena"": false, ""card_recycle"": false, ""usable_from_discard"": false, ""creates_doubles"": false, ""multiple_weapon_attacks"": false, ""discards"": false, ""prevents_discards"": false, ""multiple_inspirations"": false, ""multiple_weapons"": false, ""multiple_armors"": false, ""multiple_specials"": false}",[],Linothorax: Your defense rolls gain +1 while you have lower life than the attacking warrior.
s1-005,spreadsheet-2007,Bucephalus,special,unknown,1,,005,Greek,6,,,,,0,,,"""Ox Head"", Alexander the Great's faithful horse, carries him proudly into many battles.",Christopher Appel,,clean,"[""Cavalry""]","[{""name"": ""Strategike Thesis"", ""type"": ""static"", ""text"": ""Once per round, after you make an attack, you may move one space.""}]",null,"{""reveal"": false, ""action"": false, ""life_gain"": false, ""life_dependant"": false, ""free_move"": true, ""free_attack"": false, ""free_damage"": false, ""allows_re_roll"": false, ""dice_manipulation"": false, ""defense_bonus"": false, ""defense_penalty"": false, ""attack_bonus"": false, ""attack_penalty"": false, ""damage_reduction"": false, ""damage_bonus"": false, ""experience_bonus"": false, ""experience_penalty"": false, ""experience_dependant"": false, ""speed_bonus"": false, ""speed_penalty"": false, ""continuous"": true, ""conditional"": false, ""initiative_bonus"": false, ""initiative_penalty"": false, ""initiative_dependant"": false, ""rivalry"": false, ""create_negate_critical"": false, ""cavalry_dependant"": false, ""triggers_on_ties"": false, ""culture_dependant"": false, ""element_dependant"": false, ""plays_to_arena"": false, ""card_recycle"": false, ""usable_from_discard"": false, ""creates_doubles"": false, ""multiple_weapon_attacks"": false, ""discards"": false, ""prevents_discards"": false, ""multiple_inspirations"": false, ""multiple_weapons"": false, ""multiple_armors"": false, ""multiple_specials"": false}",[],"Strategike Thesis: Once per round, after you make an attack, you may move one space."
s1-006,spreadsheet-2007,Leonidas,warrior,Wood,1,,006,Greek,,8,3,3,1,0,15,-1 +0 ▲ -1,"Against overwhelming odds, Spartan Kink Leonidas and his brave 300 fight to the death so that others may live.",Drew Baker,"Spartan King Leonidas marched against insurmountable odds and traded his own life so that others could live. Wielding the Spartan lakonian and protected by the redoubtable hoplon shield, this bold commander and his 300 bodyguards held the Persian legions long enough to send runners to warn the rest of Greece of the impending invasion.

Watched over by Nemesis, the goddess of retribution, his strength and steadfast discipline are as unbreakable in the Anachronism™ arena as they were in the passes of Thermoplae.",clean,"[""Male""]","[{""name"": ""Molon Lave"", ""type"": ""static"", ""text"": ""Once per round, after you deal damage to an enemy warrior, gain 1 life.""}]","{""1A"": null, ""1B"": null, ""1C"": null, ""2A"": ""-1"", ""2B"": ""+0"", ""2C"": null, ""3A"": null, ""3B"": ""marker"", ""3C"": ""-1"", ""4A"": null, ""4B"": null, ""4C"": null}","{""reveal"": false, ""action"": false, ""life_gain"": true, ""life_dependant"": false, ""free_move"": false, ""free_attack"": false, ""free_damage"": false, ""allows_re_roll"": false, ""dice_manipulation"": false, ""defense_bonus"": false, ""defense_penalty"": false, ""attack_bonus"": false, ""attack_penalty"": false, ""damage_reduction"": false, ""damage_bonus"": false, ""experience_bonus"": false, ""experience_penalty"": false, ""experience_dependant"": false, ""speed_bonus"": false, ""speed_penalty"": false, ""continuous"": false, ""conditional"": true, ""initiative_bonus"": false, ""initiative_penalty"": false, ""initiative_dependant"": false, ""rivalry"": false, ""create_negate_critical"": false, ""cavalry_dependant"": false, ""triggers_on_ties"": false, ""culture_dependant"": false, ""element_dependant"": false, ""plays_to_arena"": false, ""card_recycle"": false, ""usable_from_discard"": false, ""creates_doubles"": false, ""multiple_weapon_attacks"": false, ""discards"": false, ""prevents_discards"": false, ""multiple_inspirations"": false, ""multiple_weapons"": false, ""multiple_armors"": false, ""multiple_specials"": false}",[],"Molon Lave: Once per round, after you deal damage to an enemy warrior, gain 1 life."
s1-007,spreadsheet-2007,Nemesis,inspiration,Wind,1,,007,Greek,1,,,,,0,,,"The goddess of retribution, Nemesis punishes excessive pride and undeserved happiness.",Drew Baker,,clean,"[""Deity""]","[{""name"": ""Ekdikisi"", ""type"": ""static"", ""text"": ""The next card you reveal gains +10 initiative.""}]",null,"{""reveal"": false, ""action"": false, ""life_gain"": false, ""life_dependant"": false, ""free_move"": false, ""free_attack"": false, ""free_damage"": false, ""allows_re_roll"": false, ""dice_manipulation"": false, ""defense_bonus"": false, ""defense_penalty"": false, ""attack_bonus"": false, ""attack_penalty"": false, ""damage_reduction"": false, ""damage_bonus"": false, ""experience_bonus"": false, ""experience_penalty"": false, ""experience_dependant"": false, ""speed_bonus"": false, ""speed_penalty"": false, ""continuous"": true, ""conditional"": false, ""initiative_bonus"": true, ""initiative_penalty"": false, ""initiative_dependant"": true, ""rivalry"": false, ""create_negate_critical"": false, ""cavalry_dependant"": false, ""triggers_on_ties"": false, ""culture_dependant"": false, ""element_dependant"": false, ""plays_to_arena"": false, ""card_recycle"": false, ""usable_from_discard"": false, ""creates_doubles"": false, ""multiple_weapon_attacks"": false, ""discards"": false, ""prevents_discards"": false, ""multiple_inspirations"": false, ""multiple_weapons"": false, ""multiple_armors"": false, ""multiple_specials"": false}",[],Ekdikisi: The next card you reveal gains +10 initiative.
s1-008,spreadsheet-2007,Spartan Lakonian,weapon,unknown,1,,008,Greek,4,,,,2,1,,+1 +1 ▲,"When the battle draws to close quarters, this short sword allows the Spartan hoplite to efficiently deal death.",Drew Baker,,clean,"[""Sword""]","[{""name"": ""Epithetiko Pleonektima"", ""type"": ""static"", ""text"": ""Your attack rolls gain +1 and your attacks with this weapon deal +1 damage while your opponent has no weapon.""}]","{""1A"": null, ""1B"": null, ""1C"": null, ""2A"": null, ""2B"": ""+1"", ""2C"": ""+1"", ""3A"": null, ""3B"": ""marker"", ""3C"": null, ""4A"": null, ""4B"": null, ""4C"": null}","{""reveal"": false, ""action"": false, ""life_gain"": false, ""life_dependant"": false, ""free_move"": false, ""free_attack"": false, ""free_damage"": false, ""allows_re_roll"": false, ""dice_manipulation"": false, ""defense_bonus"": false, ""defense_penalty"": false, ""attack_bonus"": true, ""attack_penalty"": false, ""damage_reduction"": false, ""damage_bonus"": true, ""experience_bonus"": false, ""experience_penalty"": false, ""experience_dependant"": false, ""speed_bonus"": false, ""speed_penalty"": false, ""continuous"": false, ""conditional"": true, ""initiative_bonus"": false, ""initiative_penalty"": false, ""initiative_dependant"": false, ""rivalry"": false, ""create_negate_critical"": false, ""cavalry_dependant"": false, ""triggers_on_ties"": false, ""culture_dependant"": false, ""element_dependant"": false, ""plays_to_arena"": false, ""card_recycle"": false, ""usable_from_discard"": false, ""creates_doubles"": false, ""multiple_weapon_attacks"": false, ""discards"": false, ""prevents_discards"": false, ""multiple_inspirations"": false, ""multiple_weapons"": false, ""multiple_armors"": false, ""multiple_specials"": false}",[],Epithetiko Pleonektima: Your attack rolls gain +1 and your attacks with this weapon deal +1 damage while your opponent has no weapon.
s1-009,spreadsheet-2007,Muscle Cuirass,armor,unknown,1,,009,Greek,4,,,,,0,,,"Weighing up to 3.3 kilograms, this sculpted bronze breastplate provides excellent protection.",Drew Baker,,clean,"[""Torso""]","[{""name"": ""Tutlela"", ""type"": ""static"", ""text"": ""After you make a roll that is not an attack roll, the result is considered doubles. Discard this card after use.""}]",null,"{""reveal"": false, ""action"": false, ""life_gain"": false, ""life_dependant"": false, ""free_move"": false, ""free_attack"": false, ""free_damage"": false, ""allows_re_roll"": false, ""dice_manipulation"": false, ""defense_bonus"": false, ""defense_penalty"": false, ""attack_bonus"": false, ""attack_penalty"": false, ""damage_reduction"": false, ""damage_bonus"": false, ""experience_bonus"": false, ""experience_penalty"": false, ""experience_dependant"": false, ""speed_bonus"": false, ""speed_penalty"": false, ""continuous"": false, ""conditional"": true, ""initiative_bonus"": false, ""initiative_penalty"": false, ""initiative_dependant"": false, ""rivalry"": false, ""create_negate_critical"": false, ""cavalry_dependant"": false, ""triggers_on_ties"": false, ""culture_dependant"": false, ""element_dependant"": false, ""plays_to_arena"": false, ""card_recycle"": false, ""usable_from_discard"": false, ""creates_doubles"": true, ""multiple_weapon_attacks"": false, ""discards"": true, ""prevents_discards"": false, ""multiple_inspirations"": false, ""multiple_weapons"": false, ""multiple_armors"": false, ""multiple_specials"": false}",[],"Tutlela: After you make a roll that is not an attack roll, the result is considered doubles. Discard this card after use."
s1-010,spreadsheet-2007,Hoplon,special,unknown,1,,010,Greek,2,,,,,1,,,"These round, reinforces shields are the best protection wielded by the Greek Hoplites.",Drew Baker,,clean,"[""Shield""]","[{""name"": ""I tan I epi tas"", ""type"": ""static"", ""text"": ""Your defense rolls gain +1 while you have a face-up weapon card.""}]",null,"{""reveal"": false, ""action"": false, ""life_gain"": false, ""life_dependant"": false, ""free_move"": false, ""free_attack"": false, ""free_damage"": false, ""allows_re_roll"": false, ""dice_manipulation"": false, ""defense_bonus"": true, ""defense_penalty"": false, ""attack_bonus"": false, ""attack_penalty"": false, ""damage_reduction"": false, ""damage_bonus"": false, ""experience_bonus"": false, ""experience_penalty"": false, ""experience_dependant"": false, ""speed_bonus"": false, ""speed_penalty"": false, ""continuous"": false, ""conditional"": true, ""initiative_bonus"": false, ""initiative_penalty"": false, ""initiative_dependant"": false, ""rivalry"": false, ""create_negate_critical"": false, ""cavalry_dependant"": false, ""triggers_on_ties"": false, ""culture_dependant"": false, ""element_dependant"": false, ""plays_to_arena"": false, ""card_recycle"": false, ""usable_from_discard"": false, ""creates_doubles"": false, ""multiple_weapon_attacks"": false, ""discards"": false, ""prevents_discards"": false, ""multiple_inspirations"": false, ""multiple_weapons"": false, ""multiple_armors"": false, ""multiple_specials"": false}",[],I tan I epi tas: Your defense rolls gain +1 while you have a face-up weapon card.
